"","Reference_restr","Author_restr","Source_restr"
"171","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; TGO0007_LF2004","Togo Ministry of Health","Report"
"172","Rapid assessment of the geographical distribution of lymphatic filariasis in Uganda, by screening of schoolchildren for circulating filarial antigens","Onapa AW, Simonsen PE, Baehr I and Pedersen EM","Published paper"
"173","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; UGA0013_LF2008","Uganda Ministry of Health","Report"
"174","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; UGA0014_LF2010","Uganda Ministry of Health","Report"
"175","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; UGA0006_LF2006","Uganda Ministry of Health","Report"
"176","Non-filarial elephantiasis in the Mt. Elgon area (Kapchorwa District) of Uganda","Onapa AW, Simonsen PE and Pedersen EM","Published paper"
"177","Lymphatic filariasis in Uganda: baseline investigations in Lira, Soroti and Katakwi districts","Onapa AW, Simonsen PE, Pedersen EM and Okello DO","Published paper"
"178","The impact of mass drug administration and long-lasting insecticidal net distribution on Wuchereria bancrofti infection in humans and mosquitoes: an observational study in northern Uganda","Ashton RA, Kyabayinze DJ, Opio T, Auma A, Edwards T, Matwale G, Onapa A, Brooker S and Kolaczinski JH","Published paper"
"179","Lymphatic filariasis in Luangwa District, South-East Zambia","Shawa S, Mwase E, Pedersen E and Simonsen P","Published paper"
"180","Mapping the Geographical Distribution of Lymphatic Filariasis in Zambia","Mwase ET, Stensgaard A-S, Nsakashalo-Senkwe M, Mubila L, Mwansa J, Songolo P, Shawa ST and Simonsen PE","Published paper"
"181","Lymphatic filariasis in the Americas: an epidemiologic history","Addiss D and Chuke S","Report"
"182","[Comparative studies on endemic areas of bancroftian filariasis in Greater Recife, Brazil]","Maciel MA, Marzochi KB, Silva EC, Rocha A and Furtado AF","Report"
"183","[Comparative studies on endemic areas of bancroftian filariasis in Greater Recife, Brazil]","Maciel MA, Marzochi KB, Silva EC, Rocha A and Furtado AF","Published paper"
"184","Survey of Bancroftian filariasis infection in humans and Culex mosquitoes in the western Brazilian Amazon region: implications for transmission and control","Korte RL, Fontes G, Camargo Jde S, Rocha EM, Araujo EA, Oliveira MZ, Santos RV and Camargo LM","Published paper"
"185","Epidemiological assessment of neglected diseases in children: lymphatic filariasis and soil-transmitted helminthiasis","Aguiar-Santos AM, Medeiros Z, Bonfim C, Rocha AC, Brandao E, Miranda T, Oliveira P and Sarinho ES","Published paper"
"186","Elimination of bancroftian filariasis (Wuchereria bancrofti) in Santa Catarina state, Brazil","Schlemper BR, Jr., Steindel M, Grisard EC, Carvalho-Pinto CJ, Bernardini OJ, de Castilho CV, Rosa G, Kilian S, Guarneri AA, Rocha A, Medeiros Z and Ferreira Neto JA","Published paper"
"187","Field evaluation of the whole blood immunochromatographic test for rapid bancroftian filariasis diagnosis in the northeast of Brazil","Braga C, Dourado MI, Ximenes RA, Alves L, Brayner F, Rocha A and Alexander N","Published paper"
"188","A socioenvironmental composite index as a tool for identifying urban areas at risk of lymphatic filariasis","Bonfim C, Netto MJ, Pedroza D, Portugal JL and Medeiros Z","Published paper"
"189","Mapping of Wuchereria bancrofti infection in children and adolescents in an endemic area of Brazil","Brandao E, Bonfim C, Cabral D, Lima JL, Aguiar-Santos AM, Maciel A and Medeiros Z","Published paper"
"190","Bancroftian filariasis in an endemic area of Brazil: differences between genders during puberty","Braga C, Dourado I, Ximenes R, Miranda J and Alexander N","Published paper"
"191","The present situation regarding lymphatic filariasis in Cabo de Santo Agostinho, Pernambuco, Northeast Brazil","Medeiros Z, Alves A, Brito JA, Borba L, Santos Z, Costa JP, do Espirito Santo ME and Netto MJ","Published paper"
"192","[The occurrence and distribution of lymphatic filariasis in Greater Metropolitan Recife: the case of an endemic area in Jaboatao dos Guararapes, Pernambuco, Brazil]","Bonfim C, Lessa F, Oliveira C, Evangelista MJ, do Espirito Santo M, Meireles E, Pereira JC and Medeiros Z","Published paper"
"193","[Evaluation of a social and environmental indicator used in the identification of lymphatic filariasis transmission in urban centers]","Braga C, Ximenes RA, Albuquerque M, Souza WV, Miranda J, Brayner F, Alves L, Silva L and Dourado I","Published paper"
"194","[Bancroftian filariasis in urban areas of Alagoas State, Northeast Brazil: study in the general population]","da Rocha EM, Fontes G, Brito AC, Silva TR, Medeiros Z and Antunes CM","Published paper"
"195","[Lymphatic filariasis in Belem, Para State, North of Brazil and the perspective of elimination]","Fontes G, Braun RF, Fraiha Neto H, Vieira JB, Padilha SS, Rocha RC and da Rocha EM","Published paper"
"196","[Workshop to evaluate the epidemiologic situation of lymphatic filariasis in the Municipality of Belem, Para, Northern Brazil]","Freitas H, Vieira JB, Braun R, Medeiros Z, Rocha EM, Aguiar-Santos A, Fraiha H and Rocha A","Published paper"
"197","Prevalence of Bancroftian Filariasis in the City of Puerto Limón and the Province of Limón, Costa Rica","Paniagua F, Garcés JL, Granados C, Zúñiga A, Ramírez M and Jimenez L","Published paper"
"198","","","Report"
"199","Short communication: impact of long-term (14 years) bi-annual ivermectin treatment on Wuchereria bancrofti microfilaraemia","Kyelem D, Medlock J, Sanou S, Bonkoungou M, Boatin B and Molyneux DH","Published paper"
"200","Lymphatic filariasis in the Caribbean region: the opportunity for its elimination and certification","Rawlins SC, Lammie P, Tiwari T, Pons P, Chadee DD, Oostburg BF and Baboolal S","Published paper"
"201","The Leogane, Haiti demonstration project: decreased microfilaremia and program costs after three years of mass drug administration","de Rochars MB, Kanjilal S, Direny AN, Radday J, Lafontant JG, Mathieu E, Rheingans RD, Haddix AC, Streit TG, Beach MJ, Addiss DG and Lammie PJ","Published paper"
"202","A community-based study of factors associated with continuing transmission of lymphatic filariasis in Leogane, Haiti","Boyd A, Won KY, McClintock SK, Donovan CV, Laney SJ, Williams SA, Pilotte N, Streit TG, Beau de Rochars MV and Lammie PJ","Published paper"
"203","A community-based trial for the control of lymphatic filariasis and iodine deficiency using salt fortified with diethylcarbamazine and iodine","Freeman AR, Lammie PJ, Houston R, LaPointe MD, Streit TG, Jooste PL, Brissau JM, Lafontant JG and Addiss DG","Published paper"
"204","Epidemiology of Wuchereria bancrofti in Leogane, Haiti","Raccurt CP, Lowrie RC, Jr., Katz SP and Duverseau YT","Published paper"
"205","Parasitological, serological, and clinical studies of Wuchereria bancrofti in Limbe, Haiti","Raccurt CP, Mojon M and Hodges WH","Published paper"
"206","Secondary mapping of lymphatic filariasis in Haiti-definition of transmission foci in low-prevalence settings","Drexler N, Washington CH, Lovegrove M, Grady C, Milord MD, Streit T and Lammie P","Published paper"
"207","Associations in filarial infections in man in the savanna zones of Mali and Upper Volta","Keita MF, Prost A, Balique H and Ranque P","Published paper"
"208","Lymphatic filariasis in a hyperendemic region: a ten-year, follow-up panel survey","Myung K, Massougbodji A, Ekoue S, Atchade P, Kiki-Fagla V and Klion AD","Published paper"
"209","Bancroftian filariasis in coastal North Trinidad, West Indies: intensity of transmission by Culex quinquefasciatus","Nathan MB","Published paper"
"210","Bancroftian filariasis in coastal north Trinidad: the effects of mass chemotherapy using spaced doses of diethylcarbamazine citrate on human microfilaraemias and vector infection rates","Nathan MB, Hamilton PJ, Monteil S and Tikasingh ES","Published paper"
"211","Mass chemotherapy with diethylcarbamazine for the control of Bancroftian filariasis: a twelve-year follow-up in northern Trinidad, including observations on Mansonella ozzardi","Chadee DD, Tilluckdharry CC, Rawlins SC, Doon R and Nathan MB","Published paper"
"212","Predictive value of clinical assessment of patients with podoconiosis in an endemic community setting","Desta K, Ashine M and Davey G","Published paper"
"213","Integrated mapping of neglected tropical diseases: epidemiological findings and control implications for northern Bahr-el-Ghazal State, Southern Sudan","Sturrock HJ, Picon D, Sabasio A, Oguttu D, Robinson E, Lado M, Rumunu J, Brooker S and Kolaczinski JH","Published paper"
"214","Neglected Tropical Diseases and their control in Southern Sudan, Ministry of Health","South Sudan Ministry of Health","Report"
"215","Programme to Eliminate Lymphatic Filariasis. Country Report WHO","Bangladesh MoH","Report"
"216","Enzyme-linked immunosorbent assay for the diagnosis of Wuchereria bancrofti infection using urine samples and its application in Bangladesh","Samad MS, Itoh M, Moji K, Hossain M, Mondal D, Alam MS and Kimura E","Published paper"
"217","Effect of annual mass administration of diethylcarbamazine and albendazole on bancroftian filariasis in five villages in south India","Ramaiah KD, Vanamail P, Yuvaraj J and Das PK","Published paper"
"218","Lymphatic filariasis in East District, Sikkim","Singh S, Bora D and Lal S","Published paper"
"219","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; CMR0009_LF2010","Cameroon Ministry of Health","Report"
"220","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; CMR0001_LF2004_2008","Cameroon Ministry of Health","Report"
"221","Declining trend of lymphatic filariasis from rural areas of Koraput district of Odisha State","Singh S and Thomas TG","Published paper"
"222","Epidemiological, clinical and entomological observations on lymphatic filariasis in urban Puri, Orissa","Sukhvir S, Bora D, Dhariwal aC, Pawan D and Shiv L","Published paper"
"223","Emergence of new foci of filariasis in Madhya Pradesh, India","Chand G, Barde PV and Singh N","Published paper"
"224","Effect of mass drug administration programme on microfilaria carriers in East Godavari district of Andhra Pradesh","Mukhopadhyay aK and Patnaik SK","Published paper"
"225","Lymphatic filariasis in the coastal areas of Digha, West Bengal, India","Chandra G, Chatterjee SN, Das S and Sarkar N","Published paper"
"226","Prevalence of diurnally subperiodic bancroftian filariasis among the Nicobarese in Andaman and Nicobar Islands, India: effect of age and gender","Shriram aN, Murhekar MV, Ramaiah KD and Sehgal SC","Unknown"
"227","Status of lymphatic filariasis in parts of east Godavari district of Andhra Pradesh, India","Mukhopadhyay aK, Patnaik SK and Babu PS","Published paper"
"228","Impact of 10 years of diethylcarbamazine and ivermectin mass administration on infection and transmission of lymphatic filariasis","Ramaiah KD, Das PK, Vanamail P and Pani SP","Published paper"
"229","Lymphatic filariasis in rural areas of Patna District, Bihar. A challenge ahead","Singh S, Bora D, Dhariwal aC, Singh R and Lal S","Published paper"
"230","Preliminary findings from a cross-sectional study on lymphatic filariasis in children, in an area of India endemic for Brugia malayi infection","Shenoy RK, Suma TK, Kumaraswami V, Rahmah N, Dhananjayan G, Padma S, Abhilash G and Ramesh C","Published paper"
"231","Changes in Wuchereria bancrofti infection in a highly endemic community following 10 rounds of mass administration of diethylcarbamazine","Ramaiah KD, Vanamail P and Das PK","Published paper"
"232","Lymphatic filariasis in Bilaspur district, Chhattisgarh","Singh S, Raina VK, Bora D, Dhariwal AC and Lal S","Published paper"
"233","Precontrol observations on lymphatic filariasis & geo-helminthiases in two coastal districts of rural Orrisa","Chhotray GP, Ranjit MR, Khuntia HK and Acharya aS","Published paper"
"234","A survey of bancroftian filariasis for microfilariae & circulating antigenaemia in two villages of Madhya Pradesh","Das D, Kumar S, Sahoo PK and Dash AP","Published paper"
"235","Transmission dynamics of filariasis in Khurdha district of Orissa, India","Dash AP, Mahapatra N, Hazra RK and Acharya AS","Published paper"
"236","A baseline study of rural Bancroftian filariasis in southern India","Murty US, Praveen B, Kumar DVR and Sriram K","Published paper"
"237","The effect of six rounds of single dose mass treatment with diethylcarbamazine or ivermectin on Wuchereria bancrofti infection and its implications for lymphatic filariasis elimination","Ramaiah KD, Vanamail P, Pani SP, Yuvaraj J and Das PK","Published paper"
"238","Lymphatic filariasis and malaria: concomitant parasitism in Orissa, India","Ravindran B, Sahoo PK and Dash aP","Published paper"
"239","Lymphatic filariasis in Andhra Pradesh Paper Mill Colony, Rajahmundry, India after nine rounds of MDA programme","Mukhopadhyay aK","Published paper"
"240","A pilot study on the status of lymphatic filariasis in a rural community of Bihar","Das VNR, Siddiqui Na, Kumar N, Verma N, Verma RB, Dinesh DS, Kar SK and Das P","Published paper"
"241","Immunochromatographic test (ICT) for estimation of true prevalence of bancroftian filariasis in an endemic area in southern India","Sunish IP, Rajendran R, Satyanarayana K, Munirathinam A and Gajanana A","Published paper"
"242","Bancroftian filariasis: prevalence of antigenaemia and endemic normals in Orissa, India","Sahoo PK, Geddam JJ, Satapathy AK, Mohanty MC and Ravindran B","Published paper"
"243","Bancroftian filariasis in south east Madhya Pradesh: Pre-control epidemilogical observations","Dixit V, Kurup AV and Gupta AK","Published paper"
"244","Epidemiology of acute filarial episodes caused by Wuchereria bancrofti infection in two rural villages in Tamil Nadu, south India","Ramaiah KD, Ramu K, Kumar KN and Guyatt H","Published paper"
"245","Mattancherry urban agglomeration, a diminishing focus of lymphatic filariasis in Kerala","Arunachalam N, Mariappan T, Vijayakumar KN, Sabesan S and Panicker KN","Published paper"
"246","Natural history, trend of prevalence and spectrum of manifestations of Bancroftian filarial disease in Pondicherry (South India)","Surendran K, Pani SP, Soudarssanane MB, Srinivasa DK, Bordolai PC and Subramanian S","Published paper"
"247","Surveillance of lymphatic filariasis after stopping ten years of mass drug administration in rural communities in south India","Ramaiah KD and Vanamail P","Published paper"
"248","Bancroftian filariasis in Pondicherry, south India: 1. Pre-control epidemiological observations","Rajagopalan PK, Das PK, Subramanian S, Vanamail P and Ramaiah KD","Published paper"
"249","Bancroftian filariasis in Pondicherry, south India: 2. Epidemiological evaluation of the effect of vector control","Subramanian S, Pani SP, Das PK and Rajagopalan PK","Published paper"
"250","Clinical epidemiology of bancroftian filariasis: effect of age and gender","Pani SP, Balakrishnan N, Srividya A, Bundy DA and Grenfell BT","Published paper"
"251","Epidemiology of subperiodic Wuchereria bancrofti infection in the Nicobar Islands, India","Tewari SC, Hiriyan J and Reuben R","Published paper"
"252","Prevalence survey of filariasis in two villages in Chingleput district of Tamil Nadu","Sarma RV, Vallishayee RS, Mayurnath S, Narayanan PR, Radhamani MP and Tripathy SP","Published paper"
"253","Little Andaman Island, a new focus of infection with nocturnally periodic Wuchereria bancrofti","Shriram AN, Sugunan AP, Murhekar MV and Sehgal SC","Published paper"
"254","High prevalence of Brugia timori infection in the highland of Alor Island, Indonesia.","Supali T, Wibowo H and Rückert P","Published paper"
"255","Estimation of the prevalence of lymphatic filariasis by a pool screen PCR assay using blood spots collected on filter paper.","Supali T, Ismid IS, Wibowo H, Djuardi Y, Majawati E, Ginanjar P and Fischer P","Published paper"
"256","Impact of two rounds of mass drug administration using diethylcarbamazine combined with albendazole on the prevalence of Brugia timori and of intestinal helminths on Alor Island, Indonesia.","Oqueka T, Supali T, Ismid IS, Purnomo, Rückert P, Bradley M and Fischer P","Published paper"
"257","Long-lasting reduction of Brugia timori microfilariae following a single dose of diethylcarbamazine combined with albendazole.","Fischer P, Djuardi Y, Ismid IS, Rückert P, Bradley M and Supali T","Published paper"
"258","Comparison of an enzyme linked immunosorbent assay (ELISA) and a radioallergosorbent test (RAST) for detection of IgE antibodies to Brugia malayi.","Wahyuni S, Van Ree R, Mangali A, Supali T, Yazdanbakhsh M and Sartono E","Published paper"
"259","Anti-filarial IgG4 in men and women living in Brugia malayi-endemic areas","Haarbrink M, Terhell AJ, Abadi K, Asri M, de Medeiros F and Yazdanbakhsh M","Published paper"
"260","Towards a filariasis-free community: evaluation of filariasis control over an eleven year period in Flores, Indonesia","Partono F and Maizels R","Published paper"
"261","Prevalence study of reemerging lymphatic filariasis in West Java, Indonesia","Rusmartini T and Yuliantina F","Published paper"
"262","Programme to Eliminate Lymphatic Filariasis. Country Report WHO","Indonesia MoH","Report"
"263","Filariasis in West Irian, Indonesia: a survey of six villages","Harbut CL","Published paper"
"264","Detection of DNA of nocturnally periodic Brugia malayi in night and day blood samples by a polymerase chain reaction-ELISA-based method using an internal control DNA","Fischer P, Supali T, Wibowo H, Bonow I and Williams SA","Published paper"
"265","Clustering of Brugia malayi infection in a community in South-Sulawesi, Indonesia","Terhell AJ, Houwing-Duistermaat JJ, Ruiterman Y, Haarbrink M, Abadi K and Yazdanbakhsh M","Published paper"
"266","Regulation of anti-filarial IgE by infection pressure","Terhell AJ, Stolk WA, Haarbrink M, Mangali A, Van Oortmarssen GJ and Yazdanbakhsh M","Published paper"
"267","Clustering of filarial infection in an age-graded study: genetic, household and environmental influences","Wahyuni S, Houwing-Duistermaat JJ, Syafruddin, Supali T, Yazdanbakhsh M and Sartono E","Published paper"
"268","Human filariae in Indonesia","Joesoef A and Cross JH","Published paper"
"269","Studies on Malayan filariasis in Bengkulu (Sumatera), Indonesia with special reference to vector confirmation","Suzuki T, Sudomo M, Bang YH and Lim BL","Published paper"
"270","Parasitological and entomological studies on filariasis in seven villages, Serian District, Sarawak, East Malaysia","Rubis P, Chang MS, Nagum AJ and Jau JL","Published paper"
"271","A study of malayan filariasis in Lubuk Mumpo and Datar Lebar villages in Lais Regency, North Bengkulu, Sumatera, Indonesia","Sudomo M, Hanifah A, Mak JW and Lim BL","Published paper"
"272","Control of Mansonia mosquitos, vectors of brugian filariasis in Sarawak, Malaysia","Chang MS, Chan KL and Ho BC","Published paper"
"273","The long term effects of repeated diethylcarbamazine administration with special reference to microfilaraemia and elephantiasis","Partono F, Purnomo, Oemijati S and Soewarta A","Published paper"
"274","Intestinal and blood parasites of man on Alor Island Southeast Indonesia","Joesoef A and Dennis DT","Published paper"
"275","Intestinal and blood parasites in the Torro Valley, Central Sulawesi, Indonesia","Stafford EE, Dennis DT, Masri S and Sudomo M","Published paper"
"276","A survey of filariasis at Waru village and Babulu Darat Transmigration Scheme, East Kalimantan","Sudomo M, Liat LB, Sustriayu N and Bang YH","Published paper"
"277","Diurnally subperiodic and non-periodic Brugia type in Balikpapan, East Kalimantan, Indonesia","Sudjadi FA, Soeyoko and Noerhajati S","Published paper"
"278","Expert Mission to Maldives for verification of Elimination of Lymphatic filariasis","WHO","Report"
"279","Programme to Eliminate Lymphatic Filariasis. Country Report WHO","Myanmar MoH","Report"
"280","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; CMR0008_LF2008","Cameroon Ministry of Health","Report"
"281","High prevalence of bancroftian filariasis in Myanmar-migrant workers: a study in Mae Sot district, Tak province, Thailand","Triteeraprapab S and Songtrus J","Published paper"
"282","Bancroftian filariasis in Nepal: a survey for circulating antigenemia of Wuchereria bancrofti and urinary IgG4 antibody in two rural areas of Nepal","Watanabe K, Itoh M, Matsuyama H, Hamano S, Kobayashi S, Shirakawa T, Suzuki A, Sharma S, Acharya GP, Itoh K, Kawasaki T, Kimura E and Aoki Y","Published paper"
"283","Prevalence of Lymphatic Filariasis in an Endemic District of Nepal","Prakash G, Das TG, Prasad YN, Raj BD, Keshab P and Kumar PR","Published paper"
"284","A prospective study of lymphatic filariasis in an endemic village of Kapilbastu district, Nepal","Gupta R and Lamichbane J","Published paper"
"285","Surveillance of lymphatic filariasis in selected districts of Nepal","Adhikari RK and Bhusal KP","Published paper"
"286","LYMPHATIC FILARIASIS: EPIDEMIOLOGICAL ANALYSIS OF THE SITUATION IN SALYANTAR VDC OF DHADING DISTRICT, NEPAL","Byanju R and Gupta R","Published paper"
"287","A final report on epidemiological surveillance of lymphatic filariasis in Makwanpur, Chitwan, Rependehi and Nawalparasi districts of Nepal ","Majarjan M","Report"
"288","Geographic information system (GIS) mapping of lymphatic filariasis endemic areas of Gampaha District, Sri Lanka based on epidemiological and entomological screening.","Wijegunawardana NDaD, Gunawardene YINS, Manamperi A, Senarathne H and Abeyewickreme W","Published paper"
"289","Distribution of filarial elephantiasis and hydrocele in Matara district, Sri Lanka, as reported by local leaders, and an immunological survey in areas with relatively high clinical rates.","Weerasooriya MV, Isogai Y, Itoh M, Yahathugoda TC, Vidanapathirana KK, Mudalige MPS and Kimura E","Published paper"
"290","Epidemiology of bancroftian filariasis in three suburban areas of Matara, Sri Lanka","V. Weerasooriya TRW, M.","Published paper"
"291","Impact of the 2004 mass drug administration for the control of lymphatic filariasis, in urban and rural areas of the Western province of Sri Lanka.","Gunawardena GSa, Ismail MM, Bradley MH and Karunaweera ND","Published paper"
"292","Microfilaraemia, serum antibody and development of clinical disease in microfilaraemic subjects infected with Wuchereria bancrofti and treated with diethylcarbamazine citrate","Dissanayake S","Published paper"
"293","The use of whole blood absorbed on filter paper to detect Wuchereria bancrofti circulating antigen","Itoh M, Gunawardena NK, Qiu XG, Weerasooriya MV and Kimura E","Published paper"
"294","Prevalence and intensity of Wuchereria bancrofti antigenaemia in Sri Lanka by Og4C3 ELISA using filter paper-absorbed whole blood","Weerasooriya MV, Gunawardena NK, Itoh M, Qiu XG and Kimura E","Published paper"
"295","Prevalence and levels of filaria-specific urinary IgG4 among children less than five years of age and the association of antibody positivity between children and their mothers","Weerasooriya MV, Itoh M, Islam MZ, Qiu XG, Fujimaki Y and Kimura E","Published paper"
"296","Expert Mission to Sri Lanka for verification of Elimination of Lymphatic filariasis. Report of the Mission (12-18 June 2011)","WHO","Report"
"297","Programme to Eliminate Lymphatic Filariasis. Country Report WHO","Sri Lanka MoH","Report"
"298","Evaluation of the ICT whole-blood Wuchereria bancrofii in Sri Lanka card test to detect infection due to","Chandrasena TGAN and Premaratnal R","Personal Commnunication"
"299","Global Programme to Eliminate Lymphatic Filariasis. Annual Report on Lymphatic Filariasis 2003","WHO","Report"
"300","Programme to Eliminate Lymphatic Filariasis. Country Report WHO","Thailand MoH","Report"
"301","Assessing transmission of lymphatic filariasis using parasitologic, serologic, and entomologic tools after mass drug administration in American Samoa","Mladonicky JM, King JD, Liang JL, Chambers E, Pa'au M, Schmaedick MA, Burkot TR, Bradley M and Lammie PJ","Published paper"
"302","Impact of five annual rounds of mass drug administration with diethylcarbamazine and albendazole on Wuchereria bancrofti infection in American Samoa","Liang JL, King JD, Ichimori K, Handzel T, Pa'au M and Lammie PJ","Published paper"
"303","Antibody to the filarial antigen Wb123 reflects reduced transmission and decreased exposure in children born following single mass drug administration (MDA)","Steel C, Kubofcik J, Ottesen EA and Nutman TB","Published paper"
"304","WHO country report","WHO","Report"
"305","[The history of lymphatic filarlasis control programme in French Polynesia: lessons from a 50 years effort]","Esterre P, Vigneron E and Roux J","Published paper"
"306","Evolution of immunologic responsiveness of persons living in an area of endemic bancroftian filariasis: a 17-year follow-up","Steel C and Ottesen EA","Published paper"
"307","Efficacy of five annual single doses of diethylcarbamazine for treatment of lymphatic filariasis in Fiji","Mataika JU, Kimura E, Koroivueta J and Shimada M","Published paper"
"308","The Global Programme to Eliminate Lymphatic Filariasis: History and achievements with special reference to annual single-dose treatment with diethylcarbamazine in Samoa and Fiji","Kimura E","Published paper"
"309","The impact of 34 years of massive DEC chemotherapy on Wuchereria bancrofti infection and transmission: the Maupiti cohort","Esterre P, Plichart C, Sechan Y and Nguyen NL","Published paper"
"310","Reduction of Wuchereria bancrofti adult worm circulating antigen after annual treatments of diethylcarbamazine combined with ivermectin in French Polynesia","Nicolas L, Plichart C, Nguyen LN and Moulia-Pelat JP","Published paper"
"311","A polymerase chain reaction assay for the detection of Wuchereria bancrofti in blood samples from French Polynesia","Williams SA, Nicolas L, Lizotte-Waniewski M, Plichart C, Luquiaud P, Nguyen LN and Moulia-Pelat JP","Published paper"
"312","Advantages of ivermectin at a single dose of 400 micrograms/kg compared with 100 micrograms/kg for community treatment of lymphatic filariasis in Polynesia","Nguyen NL, Moulia-Pelat JP, Glaziou P, Martin PM and Cartel JL","Published paper"
"313","[Mass chemotherapy with spaced doses of diethylcarbamazine: effects in Tahiti on microfilaraemia due to Wuchereria bancrofti var. pacifica]","Laigret J, Fagneaux G and Tuira E","Published paper"
"314","Morbidity Management to Improve Quality Lifge in Kiribati","Filariasis GAELF","Report"
"315","Parasitological and clinical studies on Wuchereria bancrofti infection in Chuuk (formerly Truk) State, Federated States of Micronesia","Kimura E, Remit K, Fujiwara M, Aniol K and Siren N","Report"
"316","Parasitological and clinical studies on Wuchereria bancrofti infection in Chuuk (formerly Truk) State, Federated States of Micronesia","Kimura E, Remit K, Fujiwara M, Aniol K and Siren N","Published paper"
"317","Prevalence of lymphatic filariasis from 1999 through 2007 in Nauru, a set of solitary island in the southern Pacific","Sasagawa E","Published paper"
"318","Lessons from the Pacific programme to eliminate lymphatic filariasis: a case study of 5 countries","Huppatz C, Capuano C, Palmer K, Kelly PM and Durrheim DN","Published paper"
"319","The high prevalence of Wuchereria bancrofti infections in indigenous tribes in northern Mindanao, Philippines","Tanaka H, Nakai H, Omoto K, Shibuya T, Hirai M, Mercado AS, Pagaran IG and Eviota WS","Published paper"
"320","An epidemiologic survey of lymphatic filariasis in selected villages in Boac, Marinduque. ","Hernandez LM and Go VM","Published paper"
"321","Lymphatic filariasis in a recently described endemic area in Marinduque, Philippines","Go VM","Published paper"
"322","Contrasting Wuchereria bancrofti microfilaria rates in two Mangyan-populated Philippine villages","Ramirez BL, Hernandez L, Alberto FF, Collins M, Nfonsam V, Punsalan T and Kron MA","Published paper"
"323","Filariasis in an upland population in the Philippines","Enarson DA and Enarson PM","Published paper"
"324","The clinical epidemiology of lymphatic filariasis in an endemic village in Sorsogon","Belizario VY, Lariosa T, Pesigan A, Leonardia W and Llanto R","Published paper"
"325","Rapid assessment methods for lymphatic filariasis in two municipalities in Sorsogon, Philippines. Final Report submitted to the Task Force on Applied Field Research, Special Programme for Rersearch a*","Belizario VY, Reyes LM and Solon JA","Published paper"
"326","Wuchereria bancrofti infection in a rural population, Sorsogon Province, Republic of the Philippines","Nissen MD","Report"
"327","Detection of bancroftian filariasis in human blood samples from Sorsogon province, the Philippines by polymerase chain reaction","Torres EP, Ramirez BL, Salazar F, Pasay MC, Alamares JG, Santiago ML and Hafalla JC","Published paper"
"328","A study of bancroftian filariasis on the islands of Batan and Rapu Rapu, Philippines","Schultz GW","Published paper"
"329","Human helminthiasis in the Philippines. The epidemiological and geomedical situation.","Hinz E","Published paper"
"330","Elimination of lymphatic filariasis in the Republic of Korea: an epidemiological survey of formerly endemic areas, 2002-2006","Cheun HI, Lee JS, Cho SH, Kong Y and Kim TS","Published paper"
"331","A survey of Brugia malayi infection on the Heugsan Islands, Korea","Chai JY, Lee SH, Choi SY, Lee JS, Yong TS, Park KJ, Yang KA, Lee KH, Park MJ, Park HR, Kim MJ and Rim HJ","Published paper"
"332","Brugian filariasis: 10-year follow-up study on the effectiveness of selective chemotherapy with diethylcarbamazine on Che Ju island, Republic of Korea","Kim JS, No BU and Lee WY","Published paper"
"333","[Natural Transition Of Endemicity Of Malayan Flariasis In Inland Korea: Pattern Of Change In Microfilaria Rate Among Inhabitants Of Yongpung (Former Yongju) Area During The Period Of The Last Seven Y*","Kim DC, Lee OY, Jeong EB and Jeong MG","Published paper"
"334","[Efrect of diethylcarbamazine against Brugia malayi infection on Cheju Island, evaluated in 1965]","Paik YH","Published paper"
"335","[Studies on the current epidemiological situation of brugian filariasis in endemic areas of Korea]","Paik YH, Cho YJ, Koo DS, Ree HI and Shim JC","Published paper"
"336","Successful control of lymphatic filariasis in the Republic of Korea","Cheun HI, Kong Y, Cho SH, Lee JS, Chai JY, Lee JK and Kim TS","Published paper"
"337","Epidemiological assessment of continuing transmission of lymphatic filariasis in Samoa","Joseph H, Maiava F, Naseri T, Silva U, Lammie P and Melrose W","Published paper"
"338","Epidemiology of subperiodic bancroftian filariasis in Samoa 8 years after control by mass treatment with diethylcarbamazine","Kimura E, Penaia L and Spears GF","Published paper"
"339","Wuchereria bancrofti Filariasis Control in Samoa before PacELF (Pacific Programme to Eliminate Lymphatic Filariasis)","Ichimori K, Tupuimalagi-Toelupe P, Toeaso Iosia V and M. Graves P","Published paper"
"340","A practical strategy for responding to a case of lymphatic filariasis post-elimination in Pacific Islands","Harrington H, Asugeni J, Jimuru C, Gwalaa J, Ribeyro E, Bradbury R, Joseph H, Melrose W, Maclaren D and Speare R","Published paper"
"341","Application of the Filariasis CELISA Antifilarial IgG(4) Antibody Assay in Surveillance in Lymphatic Filariasis Elimination Programmes in the South Pacific","Joseph H, Maiava F, Naseri T, Taleo F, ake M, Capuano C and Melrose W","Published paper"
